week_start,spend,impressions,clicks
2024-01-01,12212.97,52722,1213
2024-01-08,10024.49,44730,1047
2024-01-15,10828.42,58278,1047
2024-01-22,11069.86,50458,1004
2024-01-29,12496.78,45849,943
2024-02-05,11495.54,53086,922
2024-02-12,12089.91,60703,928
2024-02-19,10275.16,58382,916
2024-02-26,11369.84,42755,998
2024-03-04,14759.34,50096,1178
2024-03-11,13428.18,46711,1164
2024-03-18,11555.119999999999,38543,967
2024-03-25,9187.99,33100,863
2024-04-01,10974.7425,42880,1100
2024-04-08,12803.300000000001,49379,1084
2024-04-15,12075.3,57896,1058
2024-04-22,12882.1248,42196,1057
2024-04-29,11417.810000000001,39461,863
2024-05-06,11675.26,38117,896
2024-05-13,10104.795,35678,819
2024-05-20,13502.76,45468,991
2024-05-27,24272.23,89702,1344
2024-06-03,18229.97,74804,1116
2024-06-10,16077.55,54685,1104
2024-06-17,12174.3563,31313,934
2024-06-24,12623.33,25613,1081
2024-07-01,16121.23,40936,1272
2024-07-08,9995.880000000001,28266,796
2024-07-15,13324.900000000001,48966,1030
2024-07-22,15376.02,46476,1222
2024-07-29,15018.720000000001,37843,1316
2024-08-05,17629.37,34270,1387
2024-08-12,25864.510000000002,110167,1612
2024-08-19,21351.86,79548,1444
2024-08-26,20684.021699999998,60895,1360
2024-09-02,25851.41,68963,1455
2024-09-09,17043.6511,46147,1149
2024-09-16,17677.2788,40201,1161
2024-09-23,14680.630000000001,34516,1052
2024-09-30,15536.7171,24497,1209
2024-10-07,14607.5356,24339,1089
2024-10-14,12297.7703,25782,852
2024-10-21,9441.11,22534,677
2024-10-28,13853.56,24342,849
2024-11-04,21086.71,34977,1217
2024-11-11,14162.55,26568,908
2024-11-18,8910.24,20814,636
2024-11-25,25934.7522,23319,1385
2024-12-02,7160.8148,9440,559
2024-12-09,8021.7877,17866,523
2024-12-16,7662.6546,21491,462
2024-12-23,7417.2303,20157,606
2024-12-30,7803.0283,11322,586
2025-01-06,7634.9745,11236,614
2025-01-13,8003.8266,18914,553
2025-01-20,8117.0434000000005,13591,546
2025-01-27,8016.7615000000005,16975,567
2025-02-03,8756.425,20870,574
2025-02-10,8886.0812,17544,566
2025-02-17,5985.6601,14862,371
2025-02-24,9792.8598,24439,515
2025-03-03,7213.3872,20765,430
2025-03-10,3409.7214999999997,8306,180
2025-03-17,0.0,0,0
2025-03-24,13973.1947,27166,688
2025-03-31,13171.596,27582,623
2025-04-07,7821.473,17970,421
2025-04-14,7618.0052,19422,393
2025-04-21,9184.5946,23704,509
2025-04-28,10320.0599,25665,593
2025-05-05,10942.2745,25749,527
2025-05-12,12832.858699999999,26708,790
2025-05-19,15233.6278,30804,1129
2025-05-26,17513.4708,41279,1312
2025-06-02,13561.346599999999,31051,990
2025-06-09,15176.025699999998,31349,1036
2025-06-16,12444.6181,29614,970
2025-06-23,14532.0673,36055,1184
2025-06-30,11315.3927,30368,887
2025-07-07,4375.8746,12737,346
2025-07-14,12313.946100000001,24809,1062
2025-07-21,16589.5144,25504,1536
2025-07-28,24886.3191,32456,2149
2025-08-04,7624.5717,8292,675
2025-08-11,0.0,0,0
2025-08-18,0.0,0,0
2025-08-25,0.0,0,0
2025-09-01,10578.4585,23196,799
2025-09-08,22348.881699999998,44926,1707
2025-09-15,19952.663500000002,37385,1617
2025-09-22,18120.9185,50998,1530
2025-09-29,14446.4578,35211,1348
2025-10-06,11583.851200000001,21456,1310
2025-10-13,11176.7051,18163,1376
2025-10-20,11309.631300000001,16411,1299
2025-10-27,12279.9149,20551,1456
2025-11-03,16693.191899999998,22530,1797
2025-11-10,17507.4522,24820,1775
2025-11-17,16464.461,21730,1857
2025-11-24,32931.9128,45045,2571
2025-12-01,21339.0517,34261,2321
2025-12-08,21582.3752,32808,2103
2025-12-15,16323.644,27525,1641
2025-12-22,11538.8814,17301,1542
2025-12-29,12390.8074,19544,1458
2026-01-05,12988.255799999999,19841,1416
2026-01-12,13995.0641,20944,1437
2026-01-19,13380.3161,21146,1320
2026-01-26,15414.5365,23277,1451
2026-02-02,13694.4533,20149,1413
2026-02-09,12523.9378,22581,1213
2026-02-16,11433.5497,21068,1194
2026-02-23,10320.212,18252,1200
2026-03-02,12626.3496,20048,1364
2026-03-09,7859.293,10687,956
