week_start,spend,impressions,clicks
2024-01-01,33629.04,337099,9183
2024-01-08,35278.53,303575,7138
2024-01-15,30662.72,301503,6333
2024-01-22,31879.52,271545,5640
2024-01-29,47882.15,415763,9882
2024-02-05,31826.33,329855,7536
2024-02-12,37861.95,454450,7996
2024-02-19,49019.65,555412,9568
2024-02-26,66992.34,631546,10590
2024-03-04,74674.33,742841,13504
2024-03-11,62892.34,537078,9350
2024-03-18,61136.64,540532,7651
2024-03-25,42040.83,338555,5943
2024-04-01,58277.72,581611,9855
2024-04-08,70627.85,714341,10401
2024-04-15,64074.55,557019,8472
2024-04-22,48889.37,381527,5504
2024-04-29,56727.27,450873,6731
2024-05-06,74834.0,949434,8596
2024-05-13,85632.8,1005439,9116
2024-05-20,51443.39,635480,3520
2024-05-27,32946.72,461374,3267
2024-06-03,31625.61,468083,3409
2024-06-10,30698.41,476750,3510
2024-06-17,19603.46,269272,2194
2024-06-24,64212.73,765947,7729
2024-07-01,87006.12,1010361,18553
2024-07-08,47973.41,610843,7003
2024-07-15,28699.87,459215,4855
2024-07-22,42010.24,559541,6617
2024-07-29,52952.98,747972,8583
2024-08-05,100243.75,1520028,19282
2024-08-12,85899.78,1303640,13593
2024-08-19,89313.25,1263278,14571
2024-08-26,196364.18,1970917,18206
2024-09-02,84580.29,938079,9017
2024-09-09,41252.72,536260,6250
2024-09-16,38468.36,468655,5751
2024-09-23,35042.65,390354,3584
2024-09-30,44892.03,508922,7868
2024-10-07,34083.35,406757,3312
2024-10-14,30916.28,391246,2881
2024-10-21,45782.34,462426,5155
2024-10-28,79768.49,781598,9134
2024-11-04,68533.7,829406,8090
2024-11-11,57095.51,601665,6827
2024-11-18,70820.14,559491,7446
2024-11-25,268177.77,1311049,15377
2024-12-02,91510.92,636400,7405
2024-12-09,64636.31,614635,13502
2024-12-16,48642.37,488771,9104
2024-12-23,14538.09,296176,2799
2024-12-30,44053.67,631112,10439
2025-01-06,51443.3,595066,8838
2025-01-13,44381.21,495041,7413
2025-01-20,63349.38,599035,8615
2025-01-27,80414.68,716290,11157
2025-02-03,74733.48,685583,10517
2025-02-10,39317.1,399585,4089
2025-02-17,30762.67,355003,4158
2025-02-24,27588.33,333652,2939
2025-03-03,40022.73,443517,6502
2025-03-10,52878.06,544394,7536
2025-03-17,66084.62,619925,9136
2025-03-24,46525.46,470234,5417
2025-03-31,104457.2,759927,9478
2025-04-07,43611.34,379670,4872
2025-04-14,27493.76,313381,6182
2025-04-21,34218.12,386350,9153
2025-04-28,53396.24,620064,16472
2025-05-05,48845.17,422811,8874
2025-05-12,53169.3,305397,4126
2025-05-19,43622.82,270576,3473
2025-05-26,59875.03,453485,8366
2025-06-02,63124.94,427698,9573
2025-06-09,65657.02,436130,11227
2025-06-16,43069.75,294297,8823
2025-06-23,61671.28,466463,6847
2025-06-30,55727.24,439224,9989
2025-07-07,60318.33,480884,12716
2025-07-14,54699.83,504235,11731
2025-07-21,85575.53,804347,16435
2025-07-28,104690.45,999584,19840
2025-08-04,121043.45,1237092,36097
2025-08-11,115072.23,1126113,24477
2025-08-18,90321.42,690700,15279
2025-08-25,191821.5,1041829,20551
2025-09-01,44842.59,363903,7174
2025-09-08,61721.27,506839,11438
2025-09-15,75108.99,514022,16333
2025-09-22,66389.2,435193,10517
2025-09-29,65196.08,466924,11849
2025-10-06,51794.54,386106,9336
2025-10-13,74641.58,561865,16373
2025-10-20,95374.24,630020,16989
2025-10-27,101549.45,709624,21931
2025-11-03,109217.55,687876,18579
2025-11-10,90560.63,582942,15706
2025-11-17,128839.8,678373,19398
2025-11-24,575954.4,1952815,64835
2025-12-01,148089.2,725499,25960
2025-12-08,71667.12,490084,15494
2025-12-15,42091.42,394555,10804
2025-12-22,16984.82,229938,5543
2025-12-29,30044.64,417524,13550
2026-01-05,32295.98,348694,12073
2026-01-12,34021.08,297663,9536
2026-01-19,27246.9,228555,5765
2026-01-26,30066.3,226022,5487
2026-02-02,42745.4,306092,9121
2026-02-09,52861.79,339155,9958
2026-02-16,40410.83,285404,8845
2026-02-23,61648.57,434599,12107
2026-03-02,69167.1,447132,12126
2026-03-09,123400.98,644567,15303
